symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BLK,2019-08-06 00:00:00+00:00,435.71,437.89,430.22,435.39,418125,382.9027027504,384.8184905266,378.0780812404,382.6214861961,418125,0.0,1.0
BLK,2019-08-07 00:00:00+00:00,430.39,432.79,423.46,426.74,573953,378.2274775349,380.3366016923,372.1373815306,375.0198512123,573953,0.0,1.0
BLK,2019-08-08 00:00:00+00:00,437.62,438.44,431.6,434.0,499922,384.5812140589,385.3018314794,379.2908276309,381.3999517883,499922,0.0,1.0
BLK,2019-08-09 00:00:00+00:00,426.33,435.11,425.85,435.02,649988,374.6595425021,382.375421711,374.2377176706,382.2963295551,649988,0.0,1.0
BLK,2019-08-12 00:00:00+00:00,416.44,425.94,414.46,420.24,642600,365.9681933703,374.3168098265,364.2281659405,369.3076399528,642600,0.0,1.0
BLK,2019-08-13 00:00:00+00:00,425.33,427.2,413.59,416.56,882887,373.7807407698,375.4241000091,363.4636084334,366.0736495782,882887,0.0,1.0
BLK,2019-08-14 00:00:00+00:00,411.37,419.12,411.01,414.75,793669,361.5126685879,368.3233820127,361.1962999643,364.4830184428,793669,0.0,1.0
BLK,2019-08-15 00:00:00+00:00,409.3,417.2,406.21,413.54,612719,359.6935490022,366.6360826868,356.9780516496,363.4196683468,612719,0.0,1.0
BLK,2019-08-16 00:00:00+00:00,419.46,422.71,413.4,413.4,544256,368.6221746016,371.4782802314,363.2966361043,363.2966361043,544256,0.0,1.0
BLK,2019-08-19 00:00:00+00:00,425.56,427.94,423.17,427.17,473009,373.9828651682,376.0744132909,371.8825290282,375.3977359571,473009,0.0,1.0
BLK,2019-08-20 00:00:00+00:00,418.29,423.41,417.53,423.41,401659,367.5939765749,372.0934414439,366.9260872584,372.0934414439,401659,0.0,1.0
BLK,2019-08-21 00:00:00+00:00,420.93,424.97,420.11,422.8,351198,369.914013148,373.4643721462,369.1933957276,371.5573723873,351198,0.0,1.0
